,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,11018,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19692040.0,19692040.0,False,,1,,,,2024-04-30T07:08:00.000Z,63382.021085979046,25537898308.18334,26.9778,0.20830615,2.05961656,-4.6154703,-9.84407503,2.73136382,47.55760501,1248121294505.9429,53.4185,1331022442805.56,,2024-04-30T07:08:00.000Z,,,,,,2024-04-30 07:08:52.264612
1,1027,Ethereum,ETH,ethereum,8880,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122056395.21775669,122056395.21775669,True,,2,,,,2024-04-30T07:07:00.000Z,3170.2643066603214,12968534373.059633,-1.9592,0.14498074,-0.24286373,-0.25265805,-12.43785366,-6.45775512,35.96197679,386951033158.47955,16.5578,386951033158.48,,2024-04-30T07:07:00.000Z,,,,,,2024-04-30 07:08:52.264612
2,825,Tether USDt,USDT,tether,84380,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,110643229581.36777,113086550461.5959,True,,3,,,,2024-04-30T07:07:00.000Z,0.9999722394820486,47339888560.515564,17.2963,0.02572413,0.00481086,-0.06359451,-0.01093698,-0.00419807,0.04347426,110640158068.00677,4.7343,113083411120.38,,2024-04-30T07:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-30 07:08:52.264612
3,1839,BNB,BNB,bnb,2153,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147587857.40730715,147587857.40730715,False,,4,,,,2024-04-30T07:07:00.000Z,601.5901484702126,894533194.4921113,14.8513,0.36998794,2.8132886,-0.12001041,-0.62874052,48.52967441,96.49120378,88787401050.06248,3.7992,88787401050.06,,2024-04-30T07:07:00.000Z,,,,,,2024-04-30 07:08:52.264612
4,5426,Solana,SOL,solana,655,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,447321920.0384036,574911869.8301626,True,,5,,,,2024-04-30T07:07:00.000Z,135.85394661639543,2556181951.2481627,25.9419,0.27217509,0.72085917,-12.16030635,-30.36105058,1.59605675,35.41372001,60770448245.24078,2.6004,78104046473.04,,2024-04-30T07:07:00.000Z,,,,,,2024-04-30 07:08:52.264612
5,3408,USDC,USDC,usd-coin,18758,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33388037130.739704,33388037130.739704,False,,6,,,,2024-04-30T07:07:00.000Z,1.0000964812184325,6213665432.122304,35.5426,0.01782782,0.01023226,0.00301405,0.01311602,0.02998209,-0.00140828,33391258449.24315,1.4288,33391258449.24,,2024-04-30T07:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-30 07:08:52.264612
6,52,XRP,XRP,xrp,1307,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55235913166.0,99987652657.0,False,,7,,,,2024-04-30T07:08:00.000Z,0.5135079252982835,1027818941.9852737,26.816,-0.1153699,2.13136211,-6.6681334,-18.04113258,-12.92593055,0.4557119,28364079171.8288,1.2137,51350792529.83,,2024-04-30T07:08:00.000Z,,,,,,2024-04-30 07:08:52.264612
7,74,Dogecoin,DOGE,dogecoin,958,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144093526383.70523,144093526383.70523,True,,8,,,,2024-04-30T07:08:00.000Z,0.14285785718710314,956687084.8744054,25.7253,0.3265515,1.17547699,-9.76810122,-30.62837202,17.86292578,79.50296004,20584892413.709442,0.8808,20584892413.71,,2024-04-30T07:08:00.000Z,,,,,,2024-04-30 07:08:52.264612
8,11419,Toncoin,TON,toncoin,304,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3472663623.9163647,5105927337.920723,True,,9,3414166606.0,18345049276.42079,,2024-04-30T07:07:00.000Z,5.373214430772507,124854758.80908671,1.8001,1.5010793,2.47022942,-3.1089083,3.10311266,101.59746234,157.48199564,18659366297.246162,0.7984,27435242454.59,,2024-04-30T07:07:00.000Z,,,,,,2024-04-30 07:08:52.264612
9,2010,Cardano,ADA,cardano,1157,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35643147078.353,36841202420.119,False,,10,,,,2024-04-30T07:07:00.000Z,0.4549374064891869,282802095.55808544,3.8675,0.09881683,0.98161385,-10.97313668,-30.28647206,-32.08462084,-10.67831437,16215400890.93855,0.6939,20472183292.01,,2024-04-30T07:07:00.000Z,,,,,,2024-04-30 07:08:52.264612
